Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Trosraaigras,,Schedolium loliaceum (×),https://galerij.kb.nl/kb.html#/nl/florabatava16/page/10/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Gerimpeld gaffeltandmos,Gegolfde Gaffeltand,Dicranum polysetum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/11/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Kleine vierslippige aardster,Gewelfde Aardster,Geastrum quadrifiduum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/12/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Pinksterbloem,Veldkers met gevulde bloemen,Cardamine pratensis 'Flore Pleno',https://galerij.kb.nl/kb.html#/nl/florabatava16/page/13/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Fijnspar,Fijne Spar,Picea abies,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/14/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Breed wollegras,Breedbladig Wollegras,Eriophorum latifolium,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/15/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Fioringras,Kruipend Struisgras,Agrostis stolonifera,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/16/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Glanzend druivenpitje,Glanzige Leocarpus,Leocarpus fragilis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/17/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Groot moerasscherm,Knoopbloemige Water-Eppe,Helosciadium nodiflorum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/18/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Bloedzuring,Bloedroode Zuring,Rumex sanguineus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/19/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Beuk,"Beuk, Beukenboom, Boeken",Fagus sylvatica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/20/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Compostchampignonparasol,Uijensteel-Plaatzwam,Leucoagaricus meleagris ,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/21/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Meidoorn-jeneverbestroest,Haagdoorn-Brandzwam,Gymnosporangium clavariiforme,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/22/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Grasmuur,Dillen's Sterremuur,Stellaria graminea,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/23/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Ruige rupsklaver,Getande Rupsklaver,Medicago polymorpha,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/24/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Smalle weegbree,Weegbree met ronde bloem-aren,Plantago lanceolata,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/25/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Trosdravik,Verwisselde Dravik,Bromus racemosus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/26/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Groene anijstrechterzwam,Welriekende Plaatzwam,Clitocybe odora,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/27/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Gevlekt zonneroosje,Gevlekt Zonnekruid,Tuberaria guttata,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/28/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Luzerne,"Luzerne, Eeuwige Klaver",Medicago sativa,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/29/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Zomereik,"Gewone Eik, Zomereik",Quercus robur,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/30/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Boommos,Veelbloemige Pylaisia,Pylaisia polyantha,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/31/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Bleke franjehoed,Agaricus hydrophilus,Psathyrella candolleana,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/32/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Melige toorts,Witte Toorts-plant,Verbascum lychnitis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/33/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Roggelelie,Oranje Lelie,Lilium bulbiferum subsp. croceum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/34/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Blauw kweldergras,Borrer's Hardgras,Puccinellia fasciculata,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/35/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Riempjesmos,Riemvormig Dekmos,Rhytidiadelphus loreus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/36/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Halsdoekridderzwam,Forsche Plaatzwam,Tricholoma focale,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/37/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Dicht havikskruid,Bosch Havikskruid,Hieracium Sect. Vulgata,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/38/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Wilg,"Seringe's Wilg, Hoepwilg",Salix spec.,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/39/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Turkse lelie,Krul Lelie,Lilium martagon,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/40/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Knotskroesmos,Kroesbladige Haarmuts,Ulota bruchii,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/41/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Peer-jeneverbesroest,Brandzwam (Rood) der Perenbladen,Gymnosporangium sabinae,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/42/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Gifsumak,Vergifboom,Rhus radicans,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/43/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Schorseneer spec.,Weede-bladige Schorseneer,Scorzonera spec.,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/44/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Gevleugeld helmkruid,Nees' Waterhelmkruid,Scrophularia umbrosa,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/45/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Hartbladig puntmos,Hartvormig Dekmos,Calliergon cordifolium,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/46/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Eikhaas,Loofachtige Polyporus,Grifola frondosa,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/47/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Wollige sneeuwbal,Viorne,Viburnum lantana,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/48/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Grote ereprijs,Buxbaum's Eerenprijs,Veronica persica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/49/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Slanke waterbies,Eenschubbige Waterbies,Eleocharis uniglumis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/50/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Zilvermos,Zilverachtige Knikvrucht,Bryum argenteum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/51/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Slijmige spijkerzwam,"Kleverige Gomphidius, (Spijkerzwam)",Gomphidius glutinosus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/52/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Fijne ooievaarsbek,Duivenpoot,Geranium columbinum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/53/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Onderaardse klaver,Onderaardsche Klaver,Trifolium subterraneum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/54/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Blauw guichelheil,Blaauwe Basterdmuur. Guichelheil-wijfje,Anagallis arvensis subsp. foemina,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/55/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Geelrode naaldaar,Zeegroene Naaldaar,Setaria pumila,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/56/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Trechterzwam spec.,,Clitocybe spec.,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/57/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Kaneelroos,Kaneelroos,Rosa majalis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/58/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Rond kaasjeskruid,,Malva pusilla,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/59/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Goudzuring,Zee-zuring,Rumex maritimus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/60/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Maashaarmuts,Spruce's Haarmuts,Orthotrichum sprucei,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/61/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Zwavelzwam,Zwavelgele Polyporus,Laetiporus sulphureus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/62/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Klokbilzekruid,Karintische Scopolia,Scopolia carniolica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/63/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Gladde ereprijs,Tamme Eerenprijs,Veronica polita,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/64/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Evene,Zandhaver,Avena strigosa,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/65/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Ongewimperd knikmos,Vaalgele Knikvrucht,Bryum archangelicum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/66/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Prachtfranjezwam,anjelier-achtige Thelephora,Thelephora caryophyllea,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/67/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Engels lepelblad,Engelsch Lepelblad,Cochlearia anglica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/68/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Kleinbloemige salie,Verbena-achtige Salie,Salvia verbenaca,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/69/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Geel cypergras,Geelachtige Cyperbies,Cyperus flavescens,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/70/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Muurknikmos,Muur-Knikvrucht,Bryum radiculosum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/71/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Biefstukzwam,Ossentong,Fistulina hepatica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/72/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Groot bronkruid,Water Montia,Montia fontana subsp. amporitana,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/73/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Kleine morgenster,Kleine Boksbaard,Tragopogon pratensis subsp. minor,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/74/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Waterzuring,"Waterzuring, Zwarte Waterridder",Rumex hydrolapathum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/75/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Rood knikmos,Bedriegelijke Knikvrucht,Bryum pallens,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/76/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Eikhaas,Andijvie-achtige Polyporus,Grifola frondosa,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/77/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Bosanemoon (gevuldbloemig),Bosch-Anemone met gevulde bloemen,Anemone nemorosa 'Flore Pleno',https://galerij.kb.nl/kb.html#/nl/florabatava16/page/78/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Zandweegbree,Zand-Weegbree,Plantago arenaria,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/79/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Groot akkerscherm,Ammi,Ammi majus,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/80/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Zilt knikmos,Marrat's Knikvrucht,Bryum marratii,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/81/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Harde voorjaarssatijnzwam,Schildvormige Plaatzwam,Entoloma clypeatum,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/82/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Akkerdoornzaad,Zwitsersch Doornzaad,Torilis arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/83/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Stinkend streepzaad,Riekende Barkhausia,Crepis foetida,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/84/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Witte veldbies,Witachtige Veldbies,Luzula luzuloides,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/85/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Kleine zee-eik,Zee-eik zonder luchtblazen,Fucus spiralis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/86/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Echte tolzwam,Duurzame Polyporus,Coltricia perennis,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/87/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Holwortel,Holwortelige Helmbloem,Corydalis cava,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/8/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Grijskruid,Grijsharige Farsetia,Berteroa incana,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/9/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Bleeksporig bosviooltje,Rivin's Viooltje,Viola riviniana,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/10/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Kwelderknikmos,Waren's Knikvrucht,Bryum warneum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/11/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Koperrode spijkerzwam,Lijmerige Spijkerzwam,Chroogomphus rutilus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/12/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Geel zonneroosje,Zonnekruid,Helianthemum nummularium,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/13/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Fijn goudscherm,Kleinste Doorwas,Bupleurum tenuissimum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/14/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Schaduwkruiskruid,Heidensch Wondkruid van Fuchs,Senecio ovatus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/15/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Roodmondknikmos,Meer-Knikvrucht,Bryum knowltonii,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/16/zoom/3/lat/-68.56038368664157/lng/-27.333984375
(Cyanobacterie),Spiralige Snoerdraad,Dolichospermum circinale,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/17/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Stijve steenraket,Stijve Steenraket,Erysimum virgatum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/18/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Zomercentaurie,Zomer-Distel,Centaurea solstitialis,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/19/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Geoord helmkruid,Water-Helmkruid,Scrophularia auriculata,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/20/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Rozetknikmos,Moeras-Knikvrucht,Bryum uliginosum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/21/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Gewone oesterzwam,Twijfelachtige Plaatzwam,Pleurotus ostreatus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/22/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Witte mosterd,Witte Mosterd,Sinapis alba,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/23/zoom/3/lat/-68.56038368664157/lng/-27.333984375
-,Bastaard-Ganzerik,Potentilla alba,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/24/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Haagbeuk,Haagbeuk. Steenbeuk. Juk- of Wielboom,Carpinus betulus ,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/25/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Netknikmos,Hangende knikvrucht,Bryum algovicum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/26/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Gezoneerde stekelzwam,Geringde Stekelzwam,Hydnellum concrescens,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/27/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Trosglidkruid,Glidkruid van Columna,Scutellaria columnae,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/28/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Liggende ereprijs,Neerliggende Eerenprijs,Veronica prostrata,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/29/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Witte narcis,Witte Narcis,Narcissus poeticus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/30/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Middelst knikmos,Middelste Knikvrucht,Bryum intermedium,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/31/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Koraalzwam spec.,Schone Knotszwam,Ramaria spec.,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/32/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Kartuizer anjer,Karthuizer Anjelier,Dianthus carthusianorum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/33/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Kluwenhoornbloem,Ruige Muur,Cerastium glomeratum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/34/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Gele lupine,Gele Lupine,Lupinus luteus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/35/zoom/3/lat/-68.56038368664157/lng/-27.333984375
cf. Dicht knikmos,Geklaauwierde Knikvrucht,Bryum cf. creberrimum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/36/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Kaneelboleet,Kastanjebruine Pijpzwam,Gyroporus castaneus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/37/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Grote bosaardbei,Hooge Aardbezie,Fragaria moschata,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/38/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Pijlbrem,Pijlbladige Brem,Genista sagittalis,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/39/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Koningskaars,Kleinbloemige Toorts. Wolkruid,Verbascum thapsus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/40/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Zonneknikmos,Knikvrucht met gewrongen bladen,Bryum torquescens,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/41/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Gordijnzwam spec.,Blaauwe Cortinarius,Cortinarius spec.,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/42/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Aardbeiganzerik,Aarbei- Ganzerik,Potentilla sterilis,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/43/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Gulden sleutelbloem,Sleutelbloem. St.Pieterskruid. Bakkruid,Primula veris,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/44/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Heidezegge,Heide-Sekgras,Carex ericetorum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/45/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Rood knikmos,Bleeke Knikvrucht,Bryum pallens,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/46/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Dennenslijmkop,Slak-paddestoel,Hygrophorus hypothejus,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/47/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Christoffelkruid,Christoffelkruid,Actaea spicata,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/48/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Soldaatje,Helmdragend Standelkruid,Orchis militaris,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/49/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Vliegenorchis,Vliegen-Standelkruid,Ophrys insectifera,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/50/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Ongewimperd knikmos,,Bryum archangelicum,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/51/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Eikenbladzwammetje s.l.,Boomminnende Plaatzwam,Gymnopus dryophilus s.l.,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/52/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Karwijvarkensvenkel,Karweibladige Varkensvenkel,Dichoropetalum carvifolia,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/53/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Dennenorchis,Kruipend Netblad,Goodyera repens,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/54/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Grote graslelie,Onvertakte Graslelie,Anthericum liliago,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/55/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Braamknikmos,Roodvrucht-Knikmos,Bryum rubens,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/56/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Veldridderzwam spec.,Grootste Paddestoel,Melanoleuca spec.,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/57/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Bittere veldkers,Bittere Veldkers,Cardamine amara,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/58/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Sikkelkruid,Sikkelkruid,Falcaria vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/59/zoom/3/lat/-68.56038368664157/lng/-27.333984375
Mannetjesorchis,Standelkruid Mannetje,Orchis mascula,https://galerij.kb.nl/kb.html#/nl/florabatava17/page/60/zoom/3/lat/-68.56038368664157/lng/-27.333984375
